Chimney of Bergkamen Power Station 	925 ft 	282 m 	1981 	Chimney 	Bergkamen 	Northrhine-Westphalia 	51°38′12.16″N 7°37′14.05″E 	
Chimney of Unit E4 of Werdohl-Elverlingsen Power Station 	925 ft 	282 m 	1982 	Chimney 	Werdohl 	Northrhine-Westphalia 	51°16′33.04″N 7°42′26.24″E 	
Gersteinwerk Chimney 	925 ft 	282 m 	1984 	Chimney 	Werne 	Northrhine-Westphalia 	51°40′24.79″N 7°43′14.28″E 	
Longwave transmitter Europe 1, Mast 1 	919 ft 	282 m 	1954/55 	Guyed Mast 	Felsberg-Berus 	Saarland 	49°17′4.2″N 6°40′57.73″E 	insulated against ground
Longwave transmitter Europe 1, Mast 2 	919 ft 	280 m 	1954/55 	Guyed Mast 	Felsberg-Berus 	Saarland 	49°16′55.86″N 6°40′46.16″E 	insulated against ground
Transmitter Dieblich-Naßheck 	919 ft 	280 m 		Guyed Mast 	Dieblich-Naßheck 	Rhineland-Palatinate 	50°15′36.13″N 7°31′15.45″E 	
Transmitter Torfhaus 	918 ft 	279.8 m 		Guyed Mast 	Torfhaus 	Lower Saxony 	51°48′6.62″N 10°31′55.84″E 	
Heinrich-Hertz-Turm 	918 ft 	279.7 m 	1968 	Tower 	Hamburg 	Hamburg 	53°33′47.19″N 9°58′32.88″E 	
Longwave transmitter Europe 1, Mast 3 	906 ft 	276 m 	1954/55 	Guyed Mast 	Felsberg-Berus 	Saarland 	49°16′47.55″N 6°40′34.48″E 	insulated against ground
Chimney of Ibbenbüren Power Station 	902 ft 	275 m 	1985 	Chimney 	Ibbenbüren 	Northrhine-Westphalia 	52°17′9.11″N 7°44′45.23″E 	
Chimney of Rüstersieler Power Station 	902 ft 	275 m 		Chimney 	Rüstersieler 	Lower-Saxony 	53°33′56.93″N 8°8′46.46″E 	
Main transmission mast Mühlacker 	896 ft 	273 m 		Guyed Mast 	Mühlacker 	Baden-Württemberg 	48°56′27.67″N 8°51′8.24″E 	insulated against ground
Schwerin-Zippendorf Transmission Mast 	896 ft 	273 m 		Guyed Mast 	Schwerin 	Mecklenburg-Western Pomerania 	53°35′30.95″N 11°27′20.09″E 	close to TV Tower Schwerin-Zippendorf
Longwave transmitter Europe 1, Mast 4 	886 ft 	270 m 	1954/55 	Guyed Mast 	Felsberg-Berus 	Saarland 	49°16′39.18″N 6°40′22.72″E 	insulated against ground
Colonius 	873 ft 	266m 	1981 	Tower 	Cologne 	Northrhine-Westphalia 	50°56′49.54″N 6°55′55.08″E 	
