Chimney Power Station Mannheim-Neckarau 	656 ft 	200 m 		Chimney 	Mannheim-Neckarau 	Baden-Württemberg 	49°26′40″N 8°29′53″E ; 49°26′36.73″N 8°30′9.76″E 	
Chimney of BASF Ludwigshafen 	656 ft 	200 m 		Chimney 	Ludwigshafen 	Rhineland-Palatinate 	49°30′50″N 8°25′52″E 	demolished in November 2002
Chimney of Bayer Leverkusen 	656 ft 	200 m 		Chimney 	Leverkusen 	Northrhine-Westphalia 	51°0′45″N 6°58′35.05″E 	
Chimney Essen-Karnap 	656 ft 	200 m 		Chimney 	Essen-Karnap 	Northrhine-Westphalia 	51°30′53.98″N 6°59′37.93″E 	
Chimney Power Station Hamm-Schmehausen 	656 ft 	200 m 		Chimney 	Hamm-Schmehausen 	Northrhine-Westphalia 	51°40′49.1″N 7°58′12.7″E 	
Mainflingen longwave transmitter, Mast VI, Mast VII, Mast VIII, Mast IX, Mast X, Mast XI, Mast XII, Mast XIV, Mast XV 	656 ft 	200 m 		Guyed Masts 	Mainhausen-Mainflingen 	Hesse 	50°0′46.0188″N 9°0′25.4988″E, 50°0′41.6304″N 9°0′38.8836″E, 50°0′39.4956″N 9°0′28.8324″E, 50°0′51.2244″N 9°0′41.382″E, 50°0′53.55″N 9°0′58.7448″E, 50°1′3.7452″N 9°0′51.048″E, 50°1′10.6068″N 9°0′39.5496″E, 50°0′27.0792″N 9°0′55.026″E, 50°0′21.06″N 9°1′9.912″E 	multiple guyed masts, insulated against ground carrying T- and triangle antennas for longwave transmitters
Cooling Tower of Niederaussem Power Station 	656 ft 	200 m 		Cooling Tower 	Niederaußem 	Northrhine-Westphalia 	50°59′45.91″N 6°40′16.79″E 	world's tallest cooling tower
Chimney of Unit P/Q of Frimmersdorf Power Station 	656 ft 	200 m 		Chimney 	Frimmersdorf 	Northrhine-Westphalia 	51°3′18.17″N 6°34′36.26″E 	
Chimney of Irsching Power Station 	656 ft 	200 m 		Chimney 	Irsching 	Bavaria 	48°46′1.32″N 11°34′45.19″E ; 48°46′1.48″N 11°34′49.46″E ; 48°46′1.43″N 11°34′52.92″E
Chimney of Ingolstadt Power Station 	656 ft 	200 m 		Chimney 	Ingolstadt 	Bavaria 	48°45′43.23″N 11°30′11.73″E 	
Stadtwerketurm 	656 ft 	200 m 	1967 	Chimney 	Duisburg 	Northrhine-Westphalia 	51°25′47.62″N 6°45′11.24″E 	
Large chimney of Duisburg-Huckingen Krupp Mannesmann Blast Furnace Plant 	656 ft 	200 m 	? 	Chimney 	Duisburg 	Northrhine-Westphalia 	51°22′15.07″N 6°42′47.82″E 	
Chimney Breitungen 	656 ft 	200 m 		Chimney 	Breitungen 	Thuringia 	50°45′29.35″N 10°18′54.28″E 	
Lauchhammer-South Heating Plant Chimney 	656 ft 	200 m 		Chimney 	Lauchhammer 	Saxony 	51 28 14 N 013 46 46 E 	demolished in 2002
Large Chimney of Schwarzheide Chemical Synthesis Works 	656 ft 	200 m 		Chimney 	Schwarzheide 	Brandenburg 	51 28 49 N 13 53 15 E 	demolished
Unterbreizbach K+S Kali Works Chimney 	656 ft 	200 m 		Chimney 	Unterbreizbach 	Thuringia 	50°48′50.84″N 9°58′40.29″E 	height reduction to 94 metres in 2001
Chimneys of Wilhelmshaven Refinery 	656 ft 	200 m 		Chimney 	Wilhelmshaven 	Lower-Saxony 	53°36′50.28″N 8°5′27.7″E ; 53°36′53.59″N 8°5′42.9″E 	
Chimney of Schkopau Power Station 	656 ft 	200 m 		Chimney 	Schkopau 	Saxony-Anhalt 	51°23′54.44″N 11°57′1.17″E 	
Large chimney of PCK Reffinery 	656 ft 	200 m 		Chimney 	Schwedt 	Brandenburg 	53°5′54.06″N 14°13′10.34″E 	demolished in November 2003
Black Pump Power Station Chimneys 	656 ft 	200 m 		Chimney 	Schwarze Pumpe 	Saxony 	51°31′41.38″N 14°21′35.65″E ; 51°31′41.35″N 14°21′30.95″E 	2 chimneys, demolished in November 2000
Chimney of VEB Elektrokohle Berlin 	656 ft 	200 m 		Chimney 	Berlin 	Berlin 	52° 31′ 36″ N 13° 29′ 27 E 	demolished in May 1993
Chimney of Unit E3 of Werdohl-Elverlingsen Power Station 	656 ft 	200 m 	1971 	Chimney 	Werdohl 	Northrhine-Westphalia 	51°16′33.46″N 7°42′23.75″E 	
Meteorological mast of Karlsruhe Nuclear Research Centre 	656 ft 	200 m 	1972 	Guyed Mast 	Karlsruhe 	Baden-Württemberg 	49°5′29.07″N 8°25′29.85″E 	
Muldenhütten Chimney I 	656 ft 	200 m 	1972 	Chimney 	Hilbersdorf 	Saxony 	50°54′6.77″N 13°23′13.03″E 	
Muldenhütten Chimney II 	656 ft 	200 m 	1982 	Chimney 	Hilbersdorf 	Saxony 	50°54′8.69″N 13°23′11.49″E 	
Large Chimney of Speyer Oil Refinery 	656 ft 	200 m 	1978 	Chimney 	Speyer 	Rhineland-Palatinate 		demolished on September 12, 1986 by explosives, after facility was shut down in 1982
Asdonkshof Waste Incineration Plant 	656 ft 	200 m 	1995 	Chimney 	Kamp-Lintfort 	Northrhine-Westphalia 	51°31′23.17″N 6°34′31.96″E 	
Tower 185 	656 ft 	200 m 	2011 	Skyscraper 	Frankfurt am Main 	Hesse 	50°06′36.46″N 8°39′21.03″E 	
Rödenser Berg Meteorological Mast 	656 ft 	200 m 	2011 	Guyed Mast 	Wolfhagen 	Hesse 		
Sengenthal RePower 3.2M114 Wind Turbine 	656 ft 	200 m 	2012 	Wind turbine on steel tube/ concrete tower 	Sengenthal 	Bavaria 		
Berching Wind Park 	656 ft 	200 m 	2012 	Wind turbines on steel tube/ concrete tower (143 m hub height plus rotor) 	Berching 	Bavaria 	49°06′24.94″N 11°28′49.03″E ; 49°05′49.97″N 11°28′56.95″E ; 49°05′50.41″N 11°30′13.19″E ; 49°05′24.8″N 11°29′52.7″E ;49°05′8.51″N 11°29′47.23″E ;49°04′55.87″N 11°29′50.41″E 	
Pilsach Wind Park 	656 ft 	200 m 	2012 	Wind turbines on steel tube/ concrete tower 	Pilsach 	Bavaria 	49°18′56.05″N 11°32′42.08″E ; 49°17′57.32″N 11°33′23.02″E ; 49°17′56.01″N 11°33′37.7″E 	
